Nom scientifique;Nom français;Milieu;Type;N° fiches marais;Codes fiches dunes;ID Phytoscope;URL 1;URL 2;URL 3;URL 4;URL 5;URL 6;URL 7;Origine des URL;Correspondance xlsx dunes;Nom dans le xlsx;Illustration (xlsx);Priorité (xlsx)
Eryngium maritimum;Panicaut de mer (Chardon bleu);Dunes;Flore vasculaire;;1.2a, 1.2b, 1.3a, 1.3b;;https://api.tela-botanica.org/img:000050749CRS.jpg;https://api.tela-botanica.org/img:002334235CRS.jpg;;;;;;"1=xlsx dunes ; 2=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Eupatorium cannabinum;Eupatoire chanvrine;Prés salés;Flore vasculaire;14;;2564;https://api.tela-botanica.org/img:000043171L.jpg;https://api.tela-botanica.org/img:000043173L.jpg;https://api.tela-botanica.org/img:000084562L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Euphorbia paralias;Euphorbe des dunes;Dunes;Flore vasculaire;;1.2a, 1.2b, 1.3a, 1.3b;;https://api.tela-botanica.org/img:000074514L.jpg;https://api.tela-botanica.org/img:000015447CRS.jpg;https://api.tela-botanica.org/img:000035983CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Euphorbia peplis;Euphorbe péplis;Dunes;Flore vasculaire;;1.1b;;https://api.tela-botanica.org/img:000053925L.jpg;https://api.tela-botanica.org/img:000043704CRS.jpg;https://api.tela-botanica.org/img:000053928CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Euphorbia portlandica;Euphorbe de Portland;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1d, 2.1f, 2.1h, 2.1i, 2.2a;;https://api.tela-botanica.org/img:000329334L.jpg;https://api.tela-botanica.org/img:000015267CRS.jpg;https://api.tela-botanica.org/img:000021725CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Festuca arundinacea;Fétuque roseau;Dunes;Flore vasculaire;;2.2b;;https://api.tela-botanica.org/img:003125016L.jpg;https://api.tela-botanica.org/img:003125017L.jpg;https://api.tela-botanica.org/img:003125003L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Festuca juncifolia;Fétuque à feuilles de jonc;Dunes;Flore vasculaire;;1.3b, 2.1b, 2.1c;;;;;;;;;;exacte;;à illustrer;1 - Essentiel
Festuca rubra gr.;Fétuque rouge (gr.);Les deux;Flore vasculaire;14;2.1d, 2.1e, 2.1f, 2.1g, 2.1h, 2.2a, 2.2b;2766;https://api.tela-botanica.org/img:000179987L.jpg;https://api.tela-botanica.org/img:000148897L.jpg;https://api.tela-botanica.org/img:000179987CRS.jpg;https://api.tela-botanica.org/img:000332016CRS.jpg;https://api.tela-botanica.org/img:000332014CRS.jpg;;;"1=CSV marais ; 2=CSV marais ; 3=xlsx dunes ; 4=xlsx dunes ; 5=xlsx dunes";exacte;Festuca rubra;oui;3 - Contexte
Festuca rubra subsp. litoralis;Fétuque littorale;Prés salés;Flore vasculaire;11, 12, 13, 15, 17;;2766;https://api.tela-botanica.org/img:000790543L.jpg;https://api.tela-botanica.org/img:000179987CRS.jpg;https://api.tela-botanica.org/img:000332016CRS.jpg;https://api.tela-botanica.org/img:000332014CRS.jpg;;;;"1=CSV marais ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";espèce seule (rang différent);Festuca rubra;oui;3 - Contexte
Frankenia laevis;Frankénie lisse;Prés salés;Flore vasculaire;13;;2807;https://api.tela-botanica.org/img:000089379L.jpg;https://api.tela-botanica.org/img:000089413L.jpg;https://api.tela-botanica.org/img:000077773L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Galium aparine;Gaillet gratteron;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:000191550L.jpg;https://api.tela-botanica.org/img:000069203CRS.jpg;;;;;;"1=xlsx dunes ; 2=xlsx dunes";exacte;;à illustrer;3 - Contexte
Galium arenarium;Gaillet des sables;Dunes;Flore vasculaire;;1.2b, 1.3a, 1.3b, 2.1a, 2.1b, 2.1c, 2.1d;;https://api.tela-botanica.org/img:000043654L.jpg;https://api.tela-botanica.org/img:000043653CRS.jpg;https://api.tela-botanica.org/img:002154069L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Galium mollugo;Gaillet mollugine;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:002554880L.jpg;https://api.tela-botanica.org/img:002575866L.jpg;https://api.tela-botanica.org/img:002459535CRS.jpg;;;;;;absent du xlsx;;;
Gaudinia fragilis;Gaudinie fragile;Dunes;Flore vasculaire;;2.2b, 2.5c;;https://api.tela-botanica.org/img:001342756L.jpg;https://api.tela-botanica.org/img:000023618CRS.jpg;;;;;;;absent du xlsx;;;
Geranium columbinum;Géranium colombin;Dunes;Flore vasculaire;;2.2a, 2.2b;;https://api.tela-botanica.org/img:000166939L.jpg;https://api.tela-botanica.org/img:000077718L.jpg;https://api.tela-botanica.org/img:000075273CRS.jpg;;;;;;absent du xlsx;;;
Geranium dissectum;Géranium découpé;Dunes;Flore vasculaire;;2.5b, 2.5c;;https://api.tela-botanica.org/img:000022445CRS.jpg;https://api.tela-botanica.org/img:000071667CRS.jpg;https://api.tela-botanica.org/img:000117093L.jpg;https://api.tela-botanica.org/img:000232371L.jpg;;;;;absent du xlsx;;;
Geranium lucidum;Géranium luisant;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:001251055CRS.jpg;https://api.tela-botanica.org/img:000296015CRS.jpg;https://api.tela-botanica.org/img:000052364CRS.jpg;;;;;;absent du xlsx;;;
Geranium molle;Géranium à feuilles molles;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1d, 2.1f, 2.1g, 2.1h, 2.2a, 2.2b, 2.5a, 2.5b, 2.5c, 2.6b;;https://api.tela-botanica.org/img:000017874L.jpg;https://api.tela-botanica.org/img:002573256CRS.jpg;https://api.tela-botanica.org/img:000046037CRS.jpg;https://api.tela-botanica.org/img:000156326L.jpg;;;;;exacte;;à illustrer;3 - Contexte
Geranium purpureum;Géranium pourpre;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:002576005CRS.jpg;https://api.tela-botanica.org/img:000027339CRS.jpg;https://api.tela-botanica.org/img:000101937CRS.jpg;https://api.tela-botanica.org/img:000101939L.jpg;;;;;exacte;;à illustrer;3 - Contexte
Geranium rotundifolium;Géranium à feuilles rondes;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000017480CRS.jpg;https://api.tela-botanica.org/img:000118928CRS.jpg;https://api.tela-botanica.org/img:000102547L.jpg;;;;;;absent du xlsx;;;
Geranium sanguineum;Géranium sanguin;Dunes;Flore vasculaire;;2.1e;;https://api.tela-botanica.org/img:002253071L.jpg;https://api.tela-botanica.org/img:002450009CRS.jpg;https://api.tela-botanica.org/img:000022477CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;oui;2 - Complémentaire
Glaucium flavum;Glaucière jaune (Pavot cornu);Dunes;Flore vasculaire;;2.1i;;https://api.tela-botanica.org/img:000017789L.jpg;https://api.tela-botanica.org/img:000009450CRS.jpg;https://api.tela-botanica.org/img:000007446CRS.jpg;https://api.tela-botanica.org/img:000158513L.jpg;;;;;exacte;;à illustrer;3 - Contexte
Glaux maritima;Glaux maritime;Prés salés;Flore vasculaire;11, 14;;3056;https://api.tela-botanica.org/img:000080205L.jpg;https://api.tela-botanica.org/img:000333776L.jpg;https://api.tela-botanica.org/img:000079669L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Halimione portulacoides;Obione faux-pourpier;Prés salés;Flore vasculaire;3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 19;;3109;https://api.tela-botanica.org/img:000020989L.jpg;https://api.tela-botanica.org/img:000065222L.jpg;https://api.tela-botanica.org/img:002448377L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Hedera helix subsp. helix;Lierre grimpant;Dunes;Flore vasculaire;;2.3;;https://api.tela-botanica.org/img:003523043L.jpg;https://api.tela-botanica.org/img:003518078L.jpg;https://api.tela-botanica.org/img:003518079L.jpg;;;;;1=Tela Botanica (API DEL) via Hedera helix;absent du xlsx;;;
Helichrysum stoechas subsp. stoechas;Immortelle des dunes;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f;;https://api.tela-botanica.org/img:000032292CRS.jpg;https://api.tela-botanica.org/img:000251377L.jpg;https://api.tela-botanica.org/img:000111241L.jpg;;;;;;espèce seule (rang différent);Helichrysum stoechas;à illustrer;1 - Essentiel
Heracleum sphondylium;Berce commune;Dunes;Flore vasculaire;;2.5b;;https://api.tela-botanica.org/img:002332202CRS.jpg;https://api.tela-botanica.org/img:000017919CRS.jpg;https://api.tela-botanica.org/img:000035132CRS.jpg;https://api.tela-botanica.org/img:000070746CRS.jpg;https://api.tela-botanica.org/img:000044253CRS.jpg;;;;absent du xlsx;;;
Herniaria ciliolata;Herniaire ciliée;Prés salés;Flore vasculaire;13;;3197;https://api.tela-botanica.org/img:002308838L.jpg;https://api.tela-botanica.org/img:002308839L.jpg;https://api.tela-botanica.org/img:002564608L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";exacte;;à illustrer;3 - Contexte
Hieracium pilosella;Piloselle;Dunes;Flore vasculaire;;2.1d, 2.1e, 2.1f;;https://api.tela-botanica.org/img:002431261L.jpg;https://api.tela-botanica.org/img:002431262L.jpg;https://api.tela-botanica.org/img:002431263L.jpg;;;;;1=Tela Botanica (API DEL);exacte;;à illustrer;3 - Contexte
Holcus lanatus;Houlque laineuse;Les deux;Flore vasculaire;17;2.2a, 2.2b;3483;https://api.tela-botanica.org/img:000009520L.jpg;https://api.tela-botanica.org/img:000009550L.jpg;https://api.tela-botanica.org/img:000155758L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";exacte;;à illustrer;3 - Contexte
Homalothecium lutescens;Homalothecium lutescens (mousse);Dunes;Bryophyte / lichen;;2.1a, 2.1b, 2.1d, 2.1f, 2.1h, 2.2a, 2.2b, 2.6b;;;;;;;;;;exacte;;à illustrer;2 - Complémentaire
Honckenya peploides;Pourpier de mer;Dunes;Flore vasculaire;;1.1a, 1.1b, 1.1c, 1.2b;;;https://api.tela-botanica.org/img:000088391L.jpg;https://api.tela-botanica.org/img:000016185L.jpg;https://api.tela-botanica.org/img:000020860CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Hypericum perforatum;Millepertuis perforé;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000080318L.jpg;https://api.tela-botanica.org/img:000017481CRS.jpg;https://api.tela-botanica.org/img:000184092L.jpg;;;;;absent du xlsx;;;
Hypnum cupressiforme var. lacunosum;Hypnum cupressiforme (mousse des dunes grises);Dunes;Bryophyte / lichen;;2.1d, 2.1e, 2.1f, 2.1h, 2.2a, 2.2b;;;;;;;;;;exacte;Hypnum cupressiforme subsp. lacunosum;à illustrer;2 - Complémentaire
Hypochaeris radicata;Porcelle enracinée;Dunes;Flore vasculaire;;1.3b, 2.1a, 2.1b, 2.1d, 2.1e, 2.1f, 2.1g, 2.2a, 2.2b;;;https://api.tela-botanica.org/img:000064567L.jpg;https://api.tela-botanica.org/img:000016130CRS.jpg;https://api.tela-botanica.org/img:000185894L.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Inula crithmoides;Inule faux-crithme;Prés salés;Flore vasculaire;13, 17;;3621;https://api.tela-botanica.org/img:000185284L.jpg;https://api.tela-botanica.org/img:000044215L.jpg;https://api.tela-botanica.org/img:000048417L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Iris foetidissima;Iris fétide;Dunes;Flore vasculaire;;2.3;;;https://api.tela-botanica.org/img:000009952CRS.jpg;https://api.tela-botanica.org/img:000189877L.jpg;https://api.tela-botanica.org/img:002252942L.jpg;;;;;absent du xlsx;;;
Jasione montana subsp. montana;Jasione des montagnes;Dunes;Flore vasculaire;;2.1b, 2.1c;;;https://api.tela-botanica.org/img:000086519L.jpg;https://api.tela-botanica.org/img:000086559CRS.jpg;;;;;;espèce seule (rang différent);Jasione montana;à illustrer;3 - Contexte
Juncus ambiguus;Jonc ambigu;Prés salés;Flore vasculaire;14;;3721;https://api.tela-botanica.org/img:001797056L.jpg;https://api.tela-botanica.org/img:003135232L.jpg;https://api.tela-botanica.org/img:003135233O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Juncus bufonius;Jonc des crapauds;Dunes;Flore vasculaire;;2.1g;;https://api.tela-botanica.org/img:000009961L.jpg;https://api.tela-botanica.org/img:000085154L.jpg;https://api.tela-botanica.org/img:000092338L.jpg;;;;;"1=CSV marais (via Juncus bufonius subsp. minutulus) ; 2=CSV marais (via Juncus bufonius subsp. minutulus) ; 3=CSV marais (via Juncus bufonius subsp. minutulus)";exacte;;à illustrer;3 - Contexte
Juncus bufonius subsp. minutulus;Jonc des crapauds;Prés salés;Flore vasculaire;15;;3697;https://api.tela-botanica.org/img:000009961L.jpg;https://api.tela-botanica.org/img:000085154L.jpg;https://api.tela-botanica.org/img:000092338L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";espèce seule (rang différent);Juncus bufonius;à illustrer;3 - Contexte
Juncus gerardi;Jonc de Gérard;Prés salés;Flore vasculaire;4, 11, 12, 13, 14, 15, 17;;3712;https://api.tela-botanica.org/img:000332153L.jpg;https://api.tela-botanica.org/img:000073865L.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Juncus maritimus;Jonc maritime;Prés salés;Flore vasculaire;4, 8, 11, 12, 13, 14, 17;;3718;https://api.tela-botanica.org/img:000009973L.jpg;https://api.tela-botanica.org/img:000260081O.jpg;;;;;;"1=CSV marais ; 2=CSV marais";absent du xlsx;;;
Koeleria glauca;Koelérie glauque;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.2b;;;https://api.tela-botanica.org/img:000015476L.jpg;https://api.tela-botanica.org/img:000015475CRS.jpg;;;;;;exacte;;à illustrer;1 - Essentiel
Lagurus ovatus;Lagure ovale (Queue-de-lièvre);Dunes;Flore vasculaire;;2.1h, 2.5b, 2.5c;;;https://api.tela-botanica.org/img:002016183CRS.jpg;https://api.tela-botanica.org/img:002250658CRS.jpg;https://api.tela-botanica.org/img:000009554CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Lamium amplexicaule subsp. amplexicaule;Lamier amplexicaule;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1f;;;https://api.tela-botanica.org/img:000055799L.jpg;https://api.tela-botanica.org/img:000113193L.jpg;https://api.tela-botanica.org/img:000203779L.jpg;;;;;espèce seule (rang différent);Lamium amplexicaule;à illustrer;2 - Complémentaire
Leontodon saxatilis;Liondent des rochers;Dunes;Flore vasculaire;;1.2b, 1.3b, 2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.2a, 2.2b, 2.6b;;;https://api.tela-botanica.org/img:000133012CRS.jpg;https://api.tela-botanica.org/img:000019157CRS.jpg;https://api.tela-botanica.org/img:000026402L.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Leucanthemum vulgare;Marguerite commune;Dunes;Flore vasculaire;;2.2b, 2.5c;;https://api.tela-botanica.org/img:003439222L.jpg;https://api.tela-botanica.org/img:003245389L.jpg;https://api.tela-botanica.org/img:003245385L.jpg;;;;;1=Tela Botanica (API DEL);absent du xlsx;;;
Lichen sp.;Lichen (non déterminé);Dunes;Bryophyte / lichen;;2.1a, 2.1d, 2.1f;;;;;;;;;;absent du xlsx;;;
Limonium auriculae-ursifolium;Statice oreille d'ours;Prés salés;Flore vasculaire;13;;4010;https://api.tela-botanica.org/img:000790556L.jpg;https://api.tela-botanica.org/img:000790548O.jpg;https://api.tela-botanica.org/img:000054106O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Limonium dodartii;Statice de Dodart;Prés salés;Flore vasculaire;13;;4014;https://api.tela-botanica.org/img:000331083L.jpg;https://api.tela-botanica.org/img:000331085L.jpg;https://api.tela-botanica.org/img:002240934O.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Limonium ovalifolium;Statice à feuilles ovales;Prés salés;Flore vasculaire;13, 15;;4038;https://api.tela-botanica.org/img:000332975L.jpg;https://api.tela-botanica.org/img:000332977L.jpg;https://api.tela-botanica.org/img:000332973L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Limonium vulgare;Lavande de mer;Prés salés;Flore vasculaire;2, 3, 4, 5, 6, 7, 9, 11, 12, 14, 17;;4051;https://api.tela-botanica.org/img:000009481L.jpg;https://api.tela-botanica.org/img:000012516L.jpg;https://api.tela-botanica.org/img:000012522L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Linaria arenaria;Linaire des sables;Les deux;Flore vasculaire;13;2.1a, 2.1b, 2.1d, 2.1e, 2.1i;4058;https://api.tela-botanica.org/img:000025128L.jpg;https://api.tela-botanica.org/img:000332081L.jpg;;;;;;"1=CSV marais ; 2=CSV marais";exacte;;à illustrer;1 - Essentiel
Lotus corniculatus subsp. corniculatus;Lotier corniculé;Dunes;Flore vasculaire;;2.1d, 2.1e, 2.1f, 2.2a, 2.2b;;;https://api.tela-botanica.org/img:002426506CRS.jpg;https://api.tela-botanica.org/img:000007020CRS.jpg;https://api.tela-botanica.org/img:000050942CRS.jpg;;;;;espèce seule (rang différent);Lotus corniculatus;à illustrer;3 - Contexte
Luzula campestris;Luzule champêtre;Dunes;Flore vasculaire;;2.2a, 2.2b;;;https://api.tela-botanica.org/img:001417370L.jpg;https://api.tela-botanica.org/img:000029248CRS.jpg;https://api.tela-botanica.org/img:000046098CRS.jpg;;;;;absent du xlsx;;;
Lycopus europaeus;Lycope d'Europe;Prés salés;Flore vasculaire;14;;4223;https://api.tela-botanica.org/img:002243248L.jpg;https://api.tela-botanica.org/img:000052620L.jpg;https://api.tela-botanica.org/img:000074118L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Matricaria maritima subsp. maritima;Matricaire maritime;Les deux;Flore vasculaire;17;1.1b, 1.2b;4270;https://api.tela-botanica.org/img:000019499L.jpg;https://api.tela-botanica.org/img:000790639L.jpg;https://api.tela-botanica.org/img:000019656L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";exacte;;à illustrer;2 - Complémentaire
Matthiola sinuata;Giroflée des dunes;Dunes;Flore vasculaire;;1.2b, 1.3a, 1.3b;;;https://api.tela-botanica.org/img:000135006L.jpg;https://api.tela-botanica.org/img:000053762CRS.jpg;https://api.tela-botanica.org/img:002449370CRS.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Medicago arabica;Luzerne tachetée;Dunes;Flore vasculaire;;2.2b;;;https://api.tela-botanica.org/img:000039365L.jpg;https://api.tela-botanica.org/img:002194334CRS.jpg;https://api.tela-botanica.org/img:002194333CRS.jpg;;;;;absent du xlsx;;;
Medicago lupulina;Minette;Dunes;Flore vasculaire;;2.1d, 2.1e, 2.2a, 2.2b;;;https://api.tela-botanica.org/img:002570101CRS.jpg;https://api.tela-botanica.org/img:000049363CRS.jpg;https://api.tela-botanica.org/img:000016116CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Medicago marina;Luzerne marine;Dunes;Flore vasculaire;;1.3b;;;https://api.tela-botanica.org/img:000017837CRS.jpg;https://api.tela-botanica.org/img:000022334CRS.jpg;https://api.tela-botanica.org/img:000017838CRS.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Medicago minima;Luzerne naine;Dunes;Flore vasculaire;;2.1a, 2.1e, 2.1f, 2.1g, 2.1h;;;https://api.tela-botanica.org/img:002918138L.jpg;https://api.tela-botanica.org/img:000022273CRS.jpg;https://api.tela-botanica.org/img:000191501CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Medicago sativa;Luzerne cultivée;Dunes;Flore vasculaire;;2.5c;;;https://api.tela-botanica.org/img:000080312L.jpg;https://api.tela-botanica.org/img:000039725CRS.jpg;https://api.tela-botanica.org/img:000063331CRS.jpg;;;;;absent du xlsx;;;
Melilotus albus;Mélilot blanc;Prés salés;Flore vasculaire;13;;4337;https://api.tela-botanica.org/img:000045946O.jpg;https://api.tela-botanica.org/img:000195603L.jpg;https://api.tela-botanica.org/img:000045944L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Mercurialis annua;Mercuriale annuelle;Dunes;Flore vasculaire;;2.5a;;;https://api.tela-botanica.org/img:000032829CRS.jpg;https://api.tela-botanica.org/img:000021777CRS.jpg;https://api.tela-botanica.org/img:003120112CRS.jpg;;;;;absent du xlsx;;;
Mibora minima;Mibora naine;Dunes;Flore vasculaire;;1.3b, 2.1a, 2.1b, 2.1c, 2.1d, 2.1f, 2.1g, 2.1h, 2.1i;;;https://api.tela-botanica.org/img:000106907L.jpg;https://api.tela-botanica.org/img:000048690CRS.jpg;https://api.tela-botanica.org/img:000106905CRS.jpg;;;;;exacte;;à illustrer;1 - Essentiel
Myosotis discolor;Myosotis bicolore;Dunes;Flore vasculaire;;2.2b;;;https://api.tela-botanica.org/img:000187407CRS.jpg;;;;;;;exacte;;à illustrer;3 - Contexte
Myosotis ramosissima;Myosotis rameux;Dunes;Flore vasculaire;;2.6b;;;https://api.tela-botanica.org/img:002172568CRS.jpg;https://api.tela-botanica.org/img:002451875CRS.jpg;https://api.tela-botanica.org/img:000027351CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Myosotis ramosissima subsp. lebelii;Myosotis de Lebel;Dunes;Flore vasculaire;;2.1b, 2.1d, 2.1e, 2.1f, 2.2a, 2.2b;;https://api.tela-botanica.org/img:003471451L.jpg;https://api.tela-botanica.org/img:003471452L.jpg;https://api.tela-botanica.org/img:003471453L.jpg;;;;;1=Tela Botanica (API DEL) via Myosotis ramosissima;espèce seule (rang différent);Myosotis ramosissima;à illustrer;2 - Complémentaire
Oenanthe lachenalii;Oenanthe de Lachenal;Prés salés;Flore vasculaire;14;;4624;https://api.tela-botanica.org/img:000058158L.jpg;https://api.tela-botanica.org/img:000058161L.jpg;https://api.tela-botanica.org/img:000669384L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Ononis repens;Bugrane rampante;Dunes;Flore vasculaire;;2.1b, 2.1c, 2.1d, 2.1f, 2.2a;;;https://api.tela-botanica.org/img:000178955CRS.jpg;https://api.tela-botanica.org/img:000178957CRS.jpg;;;;;;exacte;;à illustrer;2 - Complémentaire
Ophrys passionis;Ophrys de la Passion;Dunes;Flore vasculaire;;2.1d, 2.1f;;;https://api.tela-botanica.org/img:000015962L.jpg;https://api.tela-botanica.org/img:000015960L.jpg;https://api.tela-botanica.org/img:002342131CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Otanthus maritimus;Immortelle des sables (Diotis);Dunes;Flore vasculaire;;1.2b;;;https://api.tela-botanica.org/img:000221769L.jpg;https://api.tela-botanica.org/img:002335745CRS.jpg;https://api.tela-botanica.org/img:000798204CRS.jpg;https://api.tela-botanica.org/img:000289770CRS.jpg;;;;exacte;;à illustrer;1 - Essentiel
Papaver dubium;Coquelicot douteux;Dunes;Flore vasculaire;;2.5c;;;https://api.tela-botanica.org/img:000017428CRS.jpg;https://api.tela-botanica.org/img:002528804CRS.jpg;https://api.tela-botanica.org/img:000064453CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Parapholis strigosa;Lepture droit;Prés salés;Flore vasculaire;12, 13, 15;;4947;https://api.tela-botanica.org/img:000790601L.jpg;;;;;;;1=CSV marais;absent du xlsx;;;
Parentucellia latifolia;Parentucelle à larges feuilles;Dunes;Flore vasculaire;;2.1g, 2.6b;;;https://api.tela-botanica.org/img:000253149L.jpg;https://api.tela-botanica.org/img:002338359CRS.jpg;https://api.tela-botanica.org/img:000738538CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Phleum arenarium;Fléole des sables;Dunes;Flore vasculaire;;2.1b, 2.1c;;;https://api.tela-botanica.org/img:000023645L.jpg;https://api.tela-botanica.org/img:002453517CRS.jpg;https://api.tela-botanica.org/img:000009562CRS.jpg;;;;;exacte;;à illustrer;2 - Complémentaire
Phragmites australis;Roseau commun;Prés salés;Flore vasculaire;14;;5076;https://api.tela-botanica.org/img:000110866L.jpg;https://api.tela-botanica.org/img:000023656L.jpg;https://api.tela-botanica.org/img:002452038L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Plantago coronopus;Plantain corne-de-cerf;Prés salés;Flore vasculaire;13, 15;;5193;https://api.tela-botanica.org/img:002431143L.jpg;https://api.tela-botanica.org/img:000079892L.jpg;https://api.tela-botanica.org/img:000051142CRS.jpg;https://api.tela-botanica.org/img:000194560L.jpg;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=CSV marais";exacte;;à illustrer;2 - Complémentaire
Plantago coronopus subsp. coronopus;Plantain corne-de-cerf;Dunes;Flore vasculaire;;2.1g, 2.1i, 2.2a, 2.6b;;https://api.tela-botanica.org/img:002431143L.jpg;https://api.tela-botanica.org/img:000079892L.jpg;https://api.tela-botanica.org/img:000051142CRS.jpg;https://api.tela-botanica.org/img:000194560L.jpg;;;;"1=CSV marais (via Plantago coronopus) ; 2=CSV marais (via Plantago coronopus) ; 3=CSV marais (via Plantago coronopus) ; 4=CSV marais (via Plantago coronopus)";espèce seule (rang différent);Plantago coronopus;à illustrer;2 - Complémentaire
Plantago lanceolata;Plantain lancéolé;Dunes;Flore vasculaire;;1.3b, 2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.1g, 2.1i, 2.2a, 2.2b, 2.5a, 2.5b, 2.5c, 2.6b;;;https://api.tela-botanica.org/img:000058307CRS.jpg;https://api.tela-botanica.org/img:000058308CRS.jpg;;;;;;exacte;;à illustrer;2 - Complémentaire
Plantago maritima;Plantain maritime;Prés salés;Flore vasculaire;4, 5, 6, 7, 11, 12, 13, 14;;5206;https://api.tela-botanica.org/img:000080214L.jpg;https://api.tela-botanica.org/img:000079662O.jpg;https://api.tela-botanica.org/img:000009466L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Poa annua;Pâturin annuel;Dunes;Flore vasculaire;;2.1g;;;https://api.tela-botanica.org/img:000293627CRS.jpg;https://api.tela-botanica.org/img:000293630CRS.jpg;https://api.tela-botanica.org/img:000023871CRS.jpg;;;;;exacte;;à illustrer;3 - Contexte
Poa bulbosa;Pâturin bulbeux;Dunes;Flore vasculaire;;2.6b;;https://api.tela-botanica.org/img:003280259L.jpg;https://api.tela-botanica.org/img:003174525L.jpg;https://api.tela-botanica.org/img:003166592L.jpg;;;;;1=Tela Botanica (API DEL);exacte;;à illustrer;3 - Contexte
