Nom scientifique;Nom français;Statut (au moins une fiche);Nombre de fiches;N° de fiches (habitats);ID Phytoscope;nom photo 1;nom photo 2;nom photo 3;nom photo 4
Herniaria ciliolata;Herniaire ciliée;Fréquente;1;13;3197;https://api.tela-botanica.org/img:002308838L.jpg;https://api.tela-botanica.org/img:002308839L.jpg;https://api.tela-botanica.org/img:002564608L.jpg;
Holcus lanatus;Houlque laineuse;Fréquente;1;17;3483;https://api.tela-botanica.org/img:000009520L.jpg;https://api.tela-botanica.org/img:000009550L.jpg;https://api.tela-botanica.org/img:000155758L.jpg;
Inula crithmoides;Inule faux-crithme;Caractéristique + fréquente;2;13, 17;3621;https://api.tela-botanica.org/img:000185284L.jpg;https://api.tela-botanica.org/img:000044215L.jpg;https://api.tela-botanica.org/img:000048417L.jpg;
Juncus ambiguus;Jonc ambigu;Fréquente;1;14;3721;https://api.tela-botanica.org/img:001797056L.jpg;https://api.tela-botanica.org/img:003135232L.jpg;https://api.tela-botanica.org/img:003135233O.jpg;
Juncus bufonius subsp. minutulus;Jonc des crapauds;Fréquente;1;15;3697;https://api.tela-botanica.org/img:000009961L.jpg;https://api.tela-botanica.org/img:000085154L.jpg;https://api.tela-botanica.org/img:000092338L.jpg;
Juncus gerardi;Jonc de Gérard;Caractéristique + fréquente;7;4, 11, 12, 13, 14, 15, 17;3712;https://api.tela-botanica.org/img:000332153L.jpg;https://api.tela-botanica.org/img:000073865L.jpg;;
Juncus maritimus;Jonc maritime;Caractéristique + fréquente;7;4, 8, 11, 12, 13, 14, 17;3718;https://api.tela-botanica.org/img:000009973L.jpg;https://api.tela-botanica.org/img:000260081O.jpg;https://api.tela-botanica.org/img:000009973L.jpg;
Limonium auriculae-ursifolium;Statice oreille d'ours;Caractéristique;1;13;4010;https://api.tela-botanica.org/img:000790556L.jpg;https://api.tela-botanica.org/img:000790548O.jpg;https://api.tela-botanica.org/img:000054106O.jpg;
Limonium dodartii;Statice de Dodart;Caractéristique;1;13;4014;https://api.tela-botanica.org/img:000331083L.jpg;https://api.tela-botanica.org/img:000331085L.jpg;https://api.tela-botanica.org/img:002240934O.jpg;
Limonium ovalifolium;Statice à feuilles ovales;Caractéristique + fréquente;2;13, 15;4038;https://api.tela-botanica.org/img:000332975L.jpg;https://api.tela-botanica.org/img:000332977L.jpg;https://api.tela-botanica.org/img:000332973L.jpg;
Limonium vulgare;Lavande de mer;Caractéristique + fréquente;11;2, 3, 4, 5, 6, 7, 9, 11, 12, 14, 17;4051;https://api.tela-botanica.org/img:000009481L.jpg;https://api.tela-botanica.org/img:000012516L.jpg;https://api.tela-botanica.org/img:000012522L.jpg;
Linaria arenaria;Linaire des sables;Fréquente;1;13;4058;https://api.tela-botanica.org/img:000025128L.jpg;https://api.tela-botanica.org/img:000332081L.jpg;;
Lycopus europaeus;Lycope d'Europe;Fréquente;1;14;4223;https://api.tela-botanica.org/img:002243248L.jpg;https://api.tela-botanica.org/img:000052620L.jpg;https://api.tela-botanica.org/img:000074118L.jpg;
Matricaria maritima subsp. maritima;Matricaire maritime;Fréquente;1;17;4270;https://api.tela-botanica.org/img:000019499L.jpg;https://api.tela-botanica.org/img:000790639L.jpg;https://api.tela-botanica.org/img:000019656L.jpg;
Melilotus albus;Mélilot blanc;Fréquente;1;13;4337;https://api.tela-botanica.org/img:000045946O.jpg;https://api.tela-botanica.org/img:000195603L.jpg;https://api.tela-botanica.org/img:000045944L.jpg;
Oenanthe lachenalii;Oenanthe de Lachenal;Caractéristique;1;14;4624;https://api.tela-botanica.org/img:000058158L.jpg;https://api.tela-botanica.org/img:000058161L.jpg;https://api.tela-botanica.org/img:000669384L.jpg;
Parapholis strigosa;Lepture droit;Caractéristique + fréquente;3;12, 13, 15;4947;https://api.tela-botanica.org/img:000790601L.jpg;;;
Phragmites australis;Roseau commun;Fréquente;1;14;5076;https://api.tela-botanica.org/img:000110866L.jpg;https://api.tela-botanica.org/img:000023656L.jpg;https://api.tela-botanica.org/img:002452038L.jpg;
Plantago coronopus;Plantain corne-de-cerf;Caractéristique + fréquente;2;13, 15;5193;https://api.tela-botanica.org/img:002431143L.jpg;https://api.tela-botanica.org/img:000079892L.jpg;https://api.tela-botanica.org/img:000051142CRS.jpg;https://api.tela-botanica.org/img:000194560L.jpg
Plantago maritima;Plantain maritime;Caractéristique + fréquente;8;4, 5, 6, 7, 11, 12, 13, 14;5206;https://api.tela-botanica.org/img:000080214L.jpg;https://api.tela-botanica.org/img:000079662O.jpg;https://api.tela-botanica.org/img:000009466L.jpg;
Polypogon monspeliensis;Polypogon de Montpellier;Fréquente;1;19;5328;https://api.tela-botanica.org/img:000058350O.jpg;https://api.tela-botanica.org/img:000221853O.jpg;;
Puccinellia maritima;Puccinellie maritime;Caractéristique + fréquente;11;2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 19;5501;https://api.tela-botanica.org/img:002185414L.jpg;https://api.tela-botanica.org/img:000080219O.jpg;https://api.tela-botanica.org/img:002185417L.jpg;
Pulicaria dysenterica;Pulicaire dysentérique;Fréquente;1;14;5503;https://api.tela-botanica.org/img:000183953L.jpg;https://api.tela-botanica.org/img:003483641O.jpg;https://api.tela-botanica.org/img:000019602O.jpg;
Sagina maritima;Sagine maritime;Caractéristique + fréquente;2;13, 15;6033;https://api.tela-botanica.org/img:000020825O.jpg;;;
Salicornia europaea s.l.;Salicorne, groupe europaea;Caractéristique + fréquente;3;3, 4, 9;6050;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_groupe_europaea1-mc.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_groupe_europaea3-mc.jpg;;
Salicornia perennis;Salicorne vivace;Caractéristique + fréquente;9;2, 3, 4, 5, 6, 7, 8, 12, 17;683;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_perennis2-fg.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_perennis3-fg.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_perennis1-mc.jpg;
Salicornia procumbens s.l.;Salicorne, groupe procumbens;Caractéristique + fréquente;4;2, 3, 4, 9;6052;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_procumbens1-fg.jpg;https://nature22.com/estran22/vegetaux/angiospermes/salicornia_procumbens2-mc.jpg;;
Salicornia pruinosa;Salicorne ligneuse;Caractéristique + fréquente;4;4, 7, 8, 13;6139;;;;
Salicornia sp.;Salicorne indéterminée;Fréquente;4;6, 12, 13, 14;;;;;
Samolus valerandi;Samole de Valerand;Caractéristique;1;14;6118;https://api.tela-botanica.org/img:000191135L.jpg;https://api.tela-botanica.org/img:000024072O.jpg;;
Schoenus nigricans;Choin noirâtre;Fréquente;1;14;6250;https://api.tela-botanica.org/img:000076837L.jpg;https://api.tela-botanica.org/img:001929788O.jpg;https://api.tela-botanica.org/img:000065472O.jpg;
